,name,address
0,10K Brewing Company,"2005 2nd Ave Anoka, MN 55303"
1,14 Lakes Craft Brewing Company,"36846 Co Rd 55 Crosslake, Minnesota 56442"
2,22 Northmen Brewing Co.,"6693 County Rd 34 NW Building B Alexandria, MN 56308"
3,3rd Act Craft Brewery,"4120 Radio Dr Woodbury, MN 55129"
4,56 Brewing Company,"3055 Columbia Ave NE Minneapolis, MN 55418"
5,608 Brewing Company,"83 Copeland Ave La Crosse, WI 54603"
6,612Brew,"945 Broadway St NE Minneapolis, MN 55413"
7,ABC Brewing Company,"114 Memory Ln Battle Lake, Minnesota 56515"
8,ABV Technology,"1435 Energy Park Dr St. Paul, MN 55108"
9,AEGIR Brewing Co.,"707 Main Street Northwest Elk River, Minnesota 55330"
10,Able Seedhouse + Brewery,"1121 Quincy St NE Minneapolis, MN 55413"
11,Alloy Brewing Company,"2700 Coon Rapids Blvd NW Coon Rapids, MN 55433"
12,Angry Hog Brewery & Taproom,"500 23rd Ave NW Austin, MN 55912"
13,Angry Inch Brewing Company,"20841 Holyoke Ave Lakeville, MN 55044"
14,Arbeiter Brewing Company,"3038 Minnehaha Ave Minneapolis, MN 55406"
15,August Schell Brewing Company,"1860 Schell's Rd New Ulm, MN 56073"
16,Back Channel Brewing Co.,"4787 Shoreline Dr. Spring Park, Minnesota 55384"
17,Bad Habit Brewing Company,"15 E Minnesota St#108 St Joseph, MN 56374"
18,Bad Weather Brewing Company,"414 7th St W St. Paul, MN 55102"
19,Badger Hill Brewing Company,"4571 Valley Industrial Blvd S#500 Shakopee, MN 55379"
20,Bald Man Brewing Company,"2020 Silver Bell Road#25 Eagan, MN 55122"
21,Bang Brewing Company,"2320 Capp Rd. St. Paul, MN 55114"
22,Bank Brewing Company,"200 N. Main St. Hendricks, MN 56136"
23,Barley John’s Brewpub,"781 Old Hwy 8 New Brighton, MN 55112"
24,Barrel Theory Beer Company," 248 7th St E St. Paul, Minnesota 55101"
25,Bauhaus Brew Labs,"1315 Tyler St NE Minneapolis, MN 55413"
26,Beaver Island Brewing Company,"216 6th Ave S St. Cloud, MN 56301"
27,BeerClub Brewing,"854 Forest Ave E Mora, MN 55051"
28,Bemidji Brewing Company,"211 America Ave NW Bemidji, MN 56601"
29,Bent Brewstillery,"1744 Terrace Dr. Roseville, MN 55113"
30,Bent Paddle Brewing Co.,"1832 W Michigan Street Duluth, MN 55806"
31,Big Axe Brewing Company,"25435 Main St. Nisswa, MN 56468"
32,Big Wood Brewery,"2222 4th St. White Bear Lake, MN 55110"
33,Birch’s on the Lake Brewhouse & Supperclub,"1310 Wayzata Blvd Long Lake, MN 55356"
34,BlackStack Brewing,"755 Prior Ave North St. Paul, MN 55104"
35,Blacklist Artisan Ales,"120 E Superior St. Duluth, MN 55802"
36,Block North Brew Pub,"302 Minnesota Ave. N., Aitkin, MN 56431 Aitkin, MN  56431"
37,Boathouse Brewpub,"47 E Sheridan St Ely, MN 55731"
38,Boathouse Brothers Brewing Co.,"16211 Main Ave SE Prior Lake, Minnesota 55372"
39,Bobbing Bobber Brewing Company,"900 Highway 15 South Hutchinson, Minnesota 55350"
40,Boom Island Brewing Company,"5959 Baker Rd.Suite 320 Minnetonka, MN 55345"
41,BoomTown Brewery & Woodfire Grill,"531 East Howard Street Hibbing, Minnesota 55747"
42,Brau Brothers Brewing Co.,"1010 E Southview Dr. Marshall, MN 56258"
43,Bricksworth Beer Co.,"12257B Nicollet Ave S Burnsville, MN 55337"
44,Broken Clock Brewing Cooperative,"3134 California St NE Minneapolis, MN 55418"
45,Burning Brothers Brewing,"1750 Thomas Ave W St. Paul, MN 55104"
46,Canal Park Brewing Company,"300 Canal Park Dr Duluth, MN 55802"
47,Carmody Irish Pub & Brewing,"308 E Superior St Duluth, MN 55802"
48,Castle Danger Brewery,"17 7th St Two Harbors, MN 55616"
49,Chanhassen Brewing Company,"951 W 78th St Chanhassen, MN 55317"
50,Chaotic Good Brewing Company,"601 3rd Ave NW Kasson, MN 55944"
51,Chapel Brewing,"15 Hester St Dundas, Minnesota 55019"
52,Clockwerks Brewing,"25 N 4th St Minneapolis, MN 55401"
53,Clutch Brewing Company,"928 7th St. W Ste. 201 St Paul, MN 55102"
54,Copper Trail Brewing Company,"205 Broadway St Alexandria, MN 56308"
55,Covert Artisan Ales,"605 S Watson Ave Suite 130, Sioux Falls, SD 57107 Sioux Falls, SD 57107"
56,Cuyuna Brewing Company,"1 E Main St Crosby, MN 56441"
57,Dangerous Man Brewing Co,"1300 NE 2nd St Minneapolis, MN 55413"
58,Day Block Brewing Company,"1105 S Washington Ave Minneapolis, MN 55415"
59,Disgruntled Brewing,"735 2nd St NE Perham, MN 56573"
60,Drastic Measures Brewing,"101 Jefferson Street S Wadena, Minnesota 56482"
61,Drekker Brewing Company,"1666 1st Ave N Fargo, ND 58102"
62,Drumconrath Brewing Co.,"630 1st Ave N, Ste 6 Fargo, ND 58102"
63,Dual Citizen Brewing Company,"725 Raymond Ave St. Paul, Minnesota 55114"
64,Dubh Linn Restaurant & Irish Brewpub,"109 W Superior St Duluth, MN 55802"
65,ENKI Brewing Company,"1495 Stieger Lake Ln Victoria, MN 55386"
66,Earth Rider Brewery,"1016, 1617 N 3rd St Superior, WI 54880"
67,Eastlake Craft Brewery,"920 E Lake St#123 Minneapolis, MN 55407"
68,Elm Creek Brewing Co.,"11469 Marketplace Drive N Champlin, MN 55316"
