Unnamed: 0,name,address,CraftNotes,Score,location
0,10K Brewing Company,"2005 2nd Ave Anoka, MN 55303",,,"-93.3896121, 45.1981805"
1,14 Lakes Craft Brewing Company,"36846 Co Rd 55 Crosslake, Minnesota 56442",,,"-94.1121474, 46.6870217"
2,22 Northmen Brewing Co.,"6693 County Rd 34 NW Building B Alexandria, MN 56308",,,"-95.3943287, 45.961371"
3,3rd Act Craft Brewery,"4120 Radio Dr Woodbury, MN 55129",,,"-92.9448422, 44.8881265"
4,56 Brewing Company,"3055 Columbia Ave NE Minneapolis, MN 55418",,,"-93.27210819999999, 45.0236172"
5,608 Brewing Company,"83 Copeland Ave La Crosse, WI 54603",,,"-91.24988979999999, 43.8258353"
6,612Brew,"945 Broadway St NE Minneapolis, MN 55413",612brew,100.0,"-93.2466724, 44.9990335"
7,ABC Brewing Company,"114 Memory Ln Battle Lake, Minnesota 56515",,,"-95.7195497, 46.2756718"
8,ABV Technology,"1435 Energy Park Dr St. Paul, MN 55108",,,"-93.1613991, 44.9726037"
9,AEGIR Brewing Co.,"707 Main Street Northwest Elk River, Minnesota 55330",,,"-93.5679298, 45.3029675"
10,Able Seedhouse + Brewery,"1121 Quincy St NE Minneapolis, MN 55413",,,"-93.2510252, 44.9994158"
11,Alloy Brewing Company,"2700 Coon Rapids Blvd NW Coon Rapids, MN 55433",Alloy Brewing,100.0,"-93.33664940000001, 45.1695676"
12,Angry Hog Brewery & Taproom,"500 23rd Ave NW Austin, MN 55912",,,"-92.979962, 43.6916154"
13,Angry Inch Brewing Company,"20841 Holyoke Ave Lakeville, MN 55044",,,"-93.24301, 44.6476516"
14,Arbeiter Brewing Company,"3038 Minnehaha Ave Minneapolis, MN 55406",Arbeiter Brewing,100.0,"-93.2338714, 44.9471762"
15,August Schell Brewing Company,"1860 Schell's Rd New Ulm, MN 56073",Schell's,86.0,"-94.4499683, 44.2894212"
16,Back Channel Brewing Co.,"4787 Shoreline Dr. Spring Park, Minnesota 55384",,,"-93.6439881, 44.93637529999999"
17,Bad Habit Brewing Company,"15 E Minnesota St#108 St Joseph, MN 56374",,,"-94.3167926, 45.5649999"
